Transformation,Negative_impact,Neutral_impact,Positive_impact
*Br>>*C,33.33,26.67,40
*Br>>*C#N,33.33,0,66.67
*Br>>*C(F)(F)F,36.36,0,63.64
*Br>>*Cl,17.65,5.88,76.47
*C>>*Br,40,26.67,33.33
*C>>*C#N,75,0,25
*C>>*C(C)C,65.22,2.17,32.61
*C>>*C(F)(F)F,66.2,2.82,30.99
*C>>*C(F)F,80,0,20
*C>>*C1CC1,85.29,2.94,11.76
*C>>*CC,71.32,5.15,23.53
*C>>*CCC,72.73,0,27.27
*C>>*CCCC,92.86,0,7.14
*C>>*CCO,36.84,5.26,57.89
*C>>*CCOC,30,0,70
*C>>*CO,28.57,0,71.43
*C>>*COC,25,8.33,66.67
*C>>*Cc1ccccc1,80,0,20
*C>>*Cl,64.41,5.08,30.51
*C>>*F,33.8,7.04,59.15
*C>>*N,30,0,70
*C>>*O,18.18,0,81.82
*C>>*OC,43.28,1.49,55.22
*C>>*OCC,70,0,30
*C>>*c1ccccc1,67.86,0,32.14
*C#N>>*Br,66.67,0,33.33
*C#N>>*C,25,0,75
*C#N>>*C(F)(F)F,76.92,0,23.08
*C#N>>*Cl,65.12,6.98,27.91
*C#N>>*F,32.56,11.63,55.81
*C#N>>*OC,43.33,0,56.67
*C#N>>*OC(F)(F)F,81.82,0,18.18
*C#N>>*S(C)(=O)=O,10,0,90
*C(=O)O>>*C(=O)OC,100,0,0
*C(=O)OC>>*C(=O)O,0,0,100
*C(C)(C)C>>*C(C)C,10,0,90
*C(C)C>>*C,32.61,2.17,65.22
*C(C)C>>*C(C)(C)C,90,0,10
*C(C)C>>*C(F)(F)F,85.71,0,14.29
*C(C)C>>*C1CC1,53.33,6.67,40
*C(C)C>>*CC,43.24,5.41,51.35
*C(C)C>>*CCC,81.25,0,18.75
*C(C)C>>*c1ccccc1,80,0,20
*C(F)(F)F>>*Br,63.64,0,36.36
*C(F)(F)F>>*C,30.99,2.82,66.2
*C(F)(F)F>>*C#N,23.08,0,76.92
*C(F)(F)F>>*C(C)C,14.29,0,85.71
*C(F)(F)F>>*C(F)F,30,0,70
*C(F)(F)F>>*C1CC1,57.14,7.14,35.71
*C(F)(F)F>>*CC,29.41,0,70.59
*C(F)(F)F>>*CC(F)(F)F,9.09,0,90.91
*C(F)(F)F>>*Cl,44.44,8.33,47.22
*C(F)(F)F>>*F,25,4.55,70.45
*C(F)(F)F>>*OC,55.56,2.78,41.67
*C(F)(F)F>>*OC(F)(F)F,75,0,25
*C(F)F>>*C,20,0,80
*C(F)F>>*C(F)(F)F,70,0,30
*C1CC1>>*C,11.76,2.94,85.29
*C1CC1>>*C(C)C,40,6.67,53.33
*C1CC1>>*C(F)(F)F,35.71,7.14,57.14
*C1CC1>>*CC,23.81,0,76.19
*C1CC1>>*Cl,40,0,60
*CC>>*C,23.53,5.15,71.32
*CC>>*C(C)C,51.35,5.41,43.24
*CC>>*C(F)(F)F,70.59,0,29.41
*CC>>*C1CC1,76.19,0,23.81
*CC>>*CC(F)(F)F,50,0,50
*CC>>*CC1CC1,80,10,10
*CC>>*CCC,71.88,6.25,21.88
*CC>>*Cc1ccccc1,72.73,0,27.27
*CC>>*OC,16.67,0,83.33
*CC>>*c1ccccc1,64.29,0,35.71
*CC(F)(F)F>>*C(F)(F)F,90.91,0,9.09
*CC(F)(F)F>>*CC,50,0,50
*CC1CC1>>*CC,10,10,80
*CCC>>*C,27.27,0,72.73
*CCC>>*C(C)C,18.75,0,81.25
*CCC>>*CC,21.88,6.25,71.88
*CCC>>*CCCC,100,0,0
*CCC>>*c1ccccc1,70,0,30
*CCCC>>*C,7.14,0,92.86
*CCCC>>*CCC,0,0,100
*CCN1CCCC1>>*CCN1CCCCC1,50,20,30
*CCN1CCCCC1>>*CCN1CCCC1,30,20,50
*CCO>>*C,57.89,5.26,36.84
*CCOC>>*C,70,0,30
*CN1CCCC1>>*CN1CCCCC1,50,20,30
*CN1CCCCC1>>*CN1CCCC1,30,20,50
*CO>>*C,71.43,0,28.57
*CO>>*COC,76.92,0,23.08
*COC>>*C,66.67,8.33,25
*COC>>*CO,23.08,0,76.92
*Cc1cc2c(cn1)OCCO2>>*Cc1ccc2c(n1)NC(=O)CO2,50,0,50
*Cc1ccc2c(n1)NC(=O)CO2>>*Cc1cc2c(cn1)OCCO2,50,0,50
*Cc1ccccc1>>*C,20,0,80
*Cc1ccccc1>>*CC,27.27,0,72.73
*Cc1ccccc1>>*c1ccccc1,41.18,0,58.82
*Cl>>*Br,76.47,5.88,17.65
*Cl>>*C,30.51,5.08,64.41
*Cl>>*C#N,27.91,6.98,65.12
*Cl>>*C(F)(F)F,47.22,8.33,44.44
*Cl>>*C1CC1,60,0,40
*Cl>>*F,19.09,3.64,77.27
*Cl>>*OC,30,2,68
*Cl>>*OC(F)(F)F,72.73,0,27.27
*F>>*C,59.15,7.04,33.8
*F>>*C#N,55.81,11.63,32.56
*F>>*C(F)(F)F,70.45,4.55,25
*F>>*Cl,77.27,3.64,19.09
*F>>*O,19.05,0,80.95
*F>>*OC,48,5.33,46.67
*F>>*OC(F)(F)F,100,0,0
*N>>*C,70,0,30
*N>>*N(C)C,41.67,0,58.33
*N>>*NC,45.45,9.09,45.45
*N>>*O,46.43,7.14,46.43
*N(C)C>>*N,58.33,0,41.67
*N(C)C>>*NC,34.78,0,65.22
*N1CCCC1>>*N1CCCCC1,61.54,15.38,23.08
*N1CCCCC1>>*N1CCCC1,23.08,15.38,61.54
*NC>>*N,45.45,9.09,45.45
*NC>>*N(C)C,65.22,0,34.78
*NCc1cc2c(cn1)OCCO2>>*NCc1ccc2c(n1)NC(=O)CO2,50,0,50
*NCc1ccc2c(n1)NC(=O)CO2>>*NCc1cc2c(cn1)OCCO2,50,0,50
*O>>*C,81.82,0,18.18
*O>>*F,80.95,0,19.05
*O>>*N,46.43,7.14,46.43
*O>>*OC,72.31,3.08,24.62
*O>>*OCC,80,0,20
*OC>>*C,55.22,1.49,43.28
*OC>>*C#N,56.67,0,43.33
*OC>>*C(F)(F)F,41.67,2.78,55.56
*OC>>*CC,83.33,0,16.67
*OC>>*Cl,68,2,30
*OC>>*F,46.67,5.33,48
*OC>>*O,24.62,3.08,72.31
*OC>>*OC(C)C,60,10,30
*OC>>*OC(F)(F)F,85.71,0,14.29
*OC>>*OC(F)F,83.33,0,16.67
*OC>>*OCC,83.33,0,16.67
*OC>>*S(C)(=O)=O,36.36,0,63.64
*OC(C)C>>*OC,30,10,60
*OC(F)(F)F>>*C#N,18.18,0,81.82
*OC(F)(F)F>>*C(F)(F)F,25,0,75
*OC(F)(F)F>>*Cl,27.27,0,72.73
*OC(F)(F)F>>*F,0,0,100
*OC(F)(F)F>>*OC,14.29,0,85.71
*OC(F)F>>*OC,16.67,0,83.33
*OCC>>*C,30,0,70
*OCC>>*O,20,0,80
*OCC>>*OC,16.67,0,83.33
*S(C)(=O)=O>>*C#N,90,0,10
*S(C)(=O)=O>>*OC,63.64,0,36.36
*c1cc2c(cn1)OCCO2>>*c1ccc2c(n1)NC(=O)CO2,50,0,50
*c1ccc(C#N)cc1>>*c1ccc(F)cc1,15.38,30.77,53.85
*c1ccc(C(F)(F)F)cc1>>*c1ccc(F)cc1,25,8.33,66.67
*c1ccc(C(F)(F)F)cc1>>*c1ccccc1,6.25,0,93.75
*c1ccc(C)cc1>>*c1ccc(Cl)cc1,53.85,7.69,38.46
*c1ccc(C)cc1>>*c1ccc(F)cc1,9.09,0,90.91
*c1ccc(C)cc1>>*c1ccc(OC)cc1,50,0,50
*c1ccc(C)cc1>>*c1ccccc1,17.65,0,82.35
*c1ccc(Cl)c(Cl)c1>>*c1ccc(Cl)cc1,26.67,0,73.33
*c1ccc(Cl)cc1>>*c1ccc(C)cc1,38.46,7.69,53.85
*c1ccc(Cl)cc1>>*c1ccc(Cl)c(Cl)c1,73.33,0,26.67
*c1ccc(Cl)cc1>>*c1ccc(F)cc1,9.09,4.55,86.36
*c1ccc(Cl)cc1>>*c1ccc(OC)cc1,30.77,0,69.23
*c1ccc(Cl)cc1>>*c1cccc(Cl)c1,13.33,0,86.67
*c1ccc(Cl)cc1>>*c1cccc(F)c1,0,0,100
*c1ccc(Cl)cc1>>*c1ccccc1,14.29,0,85.71
*c1ccc(F)cc1>>*c1ccc(C#N)cc1,53.85,30.77,15.38
*c1ccc(F)cc1>>*c1ccc(C(F)(F)F)cc1,66.67,8.33,25
*c1ccc(F)cc1>>*c1ccc(C)cc1,90.91,0,9.09
*c1ccc(F)cc1>>*c1ccc(Cl)cc1,86.36,4.55,9.09
*c1ccc(F)cc1>>*c1ccc(F)cc1F,20,10,70
*c1ccc(F)cc1>>*c1ccc(OC)cc1,57.14,0,42.86
*c1ccc(F)cc1>>*c1cccc(F)c1,48,12,40
*c1ccc(F)cc1>>*c1ccccc1,15.79,7.89,76.32
*c1ccc(F)cc1>>*c1ccccc1F,28.57,0,71.43
*c1ccc(F)cc1>>*c1ccccn1,0,10,90
*c1ccc(F)cc1F>>*c1ccc(F)cc1,70,10,20
*c1ccc(F)cn1>>*c1ccccn1,30,0,70
*c1ccc(OC)cc1>>*c1ccc(C)cc1,50,0,50
*c1ccc(OC)cc1>>*c1ccc(Cl)cc1,69.23,0,30.77
*c1ccc(OC)cc1>>*c1ccc(F)cc1,42.86,0,57.14
*c1ccc(OC)cc1>>*c1cccc(F)c1,40,0,60
*c1ccc(OC)cc1>>*c1cccc(OC)c1,40,6.67,53.33
*c1ccc(OC)cc1>>*c1ccccc1,21.74,8.7,69.57
*c1ccc(OC)cc1>>*c1ccccc1OC,27.27,18.18,54.55
*c1ccc2c(n1)NC(=O)CO2>>*c1cc2c(cn1)OCCO2,50,0,50
*c1cccc(Cl)c1>>*c1ccc(Cl)cc1,86.67,0,13.33
*c1cccc(Cl)c1>>*c1cccc(F)c1,20,10,70
*c1cccc(Cl)c1>>*c1ccccc1,20,0,80
*c1cccc(F)c1>>*c1ccc(Cl)cc1,100,0,0
*c1cccc(F)c1>>*c1ccc(F)cc1,40,12,48
*c1cccc(F)c1>>*c1ccc(OC)cc1,60,0,40
*c1cccc(F)c1>>*c1cccc(Cl)c1,70,10,20
*c1cccc(F)c1>>*c1cccc(OC)c1,54.55,9.09,36.36
*c1cccc(F)c1>>*c1ccccc1,24,4,72
*c1cccc(F)c1>>*c1ccccc1F,28.57,7.14,64.29
*c1cccc(OC)c1>>*c1ccc(OC)cc1,53.33,6.67,40
*c1cccc(OC)c1>>*c1cccc(F)c1,36.36,9.09,54.55
*c1cccc(OC)c1>>*c1ccccc1,45.45,0,54.55
*c1cccc2nc(C)ccc12>>*c1ocnc1C,15.38,3.85,80.77
*c1ccccc1>>*C,32.14,0,67.86
*c1ccccc1>>*C(C)C,20,0,80
*c1ccccc1>>*CC,35.71,0,64.29
*c1ccccc1>>*CCC,30,0,70
*c1ccccc1>>*Cc1ccccc1,58.82,0,41.18
*c1ccccc1>>*c1ccc(C(F)(F)F)cc1,93.75,0,6.25
*c1ccccc1>>*c1ccc(C)cc1,82.35,0,17.65
*c1ccccc1>>*c1ccc(Cl)cc1,85.71,0,14.29
*c1ccccc1>>*c1ccc(F)cc1,76.32,7.89,15.79
*c1ccccc1>>*c1ccc(OC)cc1,69.57,8.7,21.74
*c1ccccc1>>*c1cccc(Cl)c1,80,0,20
*c1ccccc1>>*c1cccc(F)c1,72,4,24
*c1ccccc1>>*c1cccc(OC)c1,54.55,0,45.45
*c1ccccc1>>*c1ccccc1Cl,90,0,10
*c1ccccc1>>*c1ccccc1F,40,0,60
*c1ccccc1>>*c1ccccn1,9.52,14.29,76.19
*c1ccccc1>>*c1cccnc1,6.25,0,93.75
*c1ccccc1Cl>>*c1ccccc1,10,0,90
*c1ccccc1F>>*c1ccc(F)cc1,71.43,0,28.57
*c1ccccc1F>>*c1cccc(F)c1,64.29,7.14,28.57
*c1ccccc1F>>*c1ccccc1,60,0,40
*c1ccccc1OC>>*c1ccc(OC)cc1,54.55,18.18,27.27
*c1ccccn1>>*c1ccc(F)cc1,90,10,0
*c1ccccn1>>*c1ccc(F)cn1,70,0,30
*c1ccccn1>>*c1ccccc1,76.19,14.29,9.52
*c1ccccn1>>*c1cccnc1,60,0,40
*c1ccccn1>>*c1ccncc1,54.55,0,45.45
*c1ccccn1>>*c1cnccn1,10,0,90
*c1cccnc1>>*c1ccccc1,93.75,0,6.25
*c1cccnc1>>*c1ccccn1,40,0,60
*c1cccnc1>>*c1ccncc1,73.33,0,26.67
*c1ccncc1>>*c1ccccn1,45.45,0,54.55
*c1ccncc1>>*c1cccnc1,26.67,0,73.33
*c1cnccn1>>*c1ccccn1,90,0,10
*c1ocnc1C>>*c1cccc2nc(C)ccc12,80.77,3.85,15.38
